City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
124,villagarzon,1.0375,-76.6267,22.84,84,80,2.72,CO,1700371052
125,ponta delgada,37.7333,-25.6667,18.99,72,40,7.2,PT,1700370789
126,san patricio,28.017,-97.5169,20.92,77,71,2.24,US,1700371053
127,opuwo,-18.0607,13.84,22.67,65,85,1.84,NA,1700371054
128,puerto ayora,-0.7393,-90.3518,20.86,96,33,1.34,EC,1700371054
129,bom jesus da lapa,-13.255,-43.4181,23.42,74,18,2.55,BR,1700371054
130,jerantut,3.936,102.3626,26.51,80,100,1.77,MY,1700371054
131,kavieng,-2.5744,150.7967,28.88,74,14,5.06,PG,1700371055
132,tarnogskiy gorodok,60.4997,43.5761,-6.23,91,99,3.58,RU,1700371055
133,tucurui,-3.7661,-49.6725,27.59,65,94,1.37,BR,1700371055
134,paramonga,-10.6667,-77.8333,19.42,83,100,3.0,PE,1700371056
135,bonthe,7.5264,-12.505,24.09,91,99,2.23,SL,1700371056
136,tazovsky,67.4667,78.7,-22.1,98,94,3.62,RU,1700371056
137,guarapari,-20.6667,-40.4975,24.94,82,13,5.81,BR,1700371056
138,udachny,66.4167,112.4,-24.51,99,39,0.58,RU,1700371057
139,vadso,70.0744,29.7487,-7.91,86,40,4.12,NO,1700371057
140,columbia falls,48.3725,-114.1815,0.01,93,100,0.0,US,1700371057
141,qamdo,31.1667,97.2333,2.37,23,0,1.87,CN,1700370945
142,paita,-5.0892,-81.1144,19.9,86,100,3.17,PE,1700371058
143,georgiyevka,43.0369,74.7114,7.02,100,75,3.0,KZ,1700371058
144,alta,69.9689,23.2717,-6.41,85,75,1.54,NO,1700371054
145,aldinga beach,-35.2793,138.4604,28.48,47,57,5.47,AU,1700370993
146,chadan,51.2833,91.5833,-8.09,92,97,0.1,RU,1700371059
147,dali,25.7,100.1833,16.1,58,59,0.42,CN,1700371059
148,buka,40.8108,69.1986,13.01,61,99,1.4,UZ,1700371060
149,fukuecho,32.6881,128.8419,16.2,48,40,2.06,JP,1700371060
150,polyarnyy,69.1989,33.4478,-11.37,96,61,3.2,RU,1700371060
151,wattegama,6.7989,81.4808,30.84,62,92,0.59,LK,1700371061
152,gaalkacyo,6.7697,47.4308,25.35,75,96,7.02,SO,1700370911
153,cobija,-11.0267,-68.7692,29.82,46,100,1.8,BO,1700371062
154,petrolia,42.8668,-82.1498,7.09,65,0,3.09,CA,1700371062
155,arraial do cabo,-22.9661,-42.0278,23.71,92,93,1.75,BR,1700371063
156,cholul,21.0167,-89.2833,24.01,93,50,0.32,MX,1700371063
157,itoman,26.1247,127.6694,23.21,53,20,5.66,JP,1700371063
158,ilulissat,69.2167,-51.1,3.01,60,75,8.23,GL,1700371064
159,tangalle,6.024,80.7911,29.16,70,92,2.14,LK,1700371064
160,port lincoln,-34.7333,135.8667,18.42,60,83,6.3,AU,1700371064
161,santana,-0.0583,-51.1817,28.1,78,0,3.09,BR,1700370868
162,ribeira grande,38.5167,-28.7,14.32,81,54,7.15,PT,1700371065
163,khandyga,62.6667,135.6,-15.36,96,100,2.02,RU,1700371065
164,popondetta,-8.7537,148.2534,32.16,48,89,3.32,PG,1700371065
165,kralendijk,12.15,-68.2667,27.99,89,100,5.14,BQ,1700371066
166,wailua homesteads,22.0669,-159.378,25.24,87,75,6.17,US,1700371067
167,atafu village,-8.5421,-172.5159,29.79,76,89,7.77,TK,1700371068
168,hamilton,39.1834,-84.5333,4.98,78,0,0.89,US,1700370845
169,greymouth,-42.4667,171.2,15.28,72,16,4.78,NZ,1700370972
170,kayyerkan,69.3786,87.7439,-25.95,75,77,1.6,RU,1700371069
171,kiunga,-6.1219,141.2906,29.05,77,99,1.55,PG,1700371069
172,luderitz,-26.6481,15.1594,18.07,63,0,3.48,NA,1700371070
173,jiamusi,46.8333,130.35,-2.06,86,100,4.46,CN,1700371071
174,ngaoundere,7.3167,13.5833,17.91,47,96,1.72,CM,1700371071
175,mwene-ditu,-7.0,23.45,18.82,98,100,1.27,CD,1700371071
176,broome,42.2506,-75.833,2.04,80,20,3.09,US,1700371072
177,ust-nera,64.5667,143.2,-25.26,100,97,0.1,RU,1700371072
178,tura,25.5198,90.2201,26.23,61,4,0.75,IN,1700371072
179,anadyr,64.75,177.4833,-14.72,85,40,5.0,RU,1700370910
180,grand falls-windsor,48.9332,-55.6649,11.95,93,100,4.92,CA,1700371073
181,laascaanood,8.4774,47.3597,23.09,74,100,6.51,SO,1700371073
182,uturoa,-16.7333,-151.4333,26.0,79,57,10.05,PF,1700371073
183,hermanus,-34.4187,19.2345,17.66,76,100,1.85,ZA,1700371074
184,francisco beltrao,-26.0811,-53.055,17.6,97,54,1.83,BR,1700371074
185,malinyi,-8.9333,36.1333,25.62,79,97,0.33,TZ,1700371074
186,kuqa,41.7278,82.9364,6.84,32,100,0.72,CN,1700370851
